product_name,product_cost,product_rating
"Amal Classic Mirror with Stand, for Vanity and Bathroom Use, Sturdy and Multipurpose Red ",19.00,9
XIMI VOGUE Square Animal Sox Compact Mirror Blue ,10.00,3
,,
Home Box Zoya 3-Piece Mirrors And Clock Set 25 x 25 x 2 cm ,25.00,1
XIMI VOGUE Rectangular Leisure Collection Compact Mirror Grey ,10.00,1
OUTAD Seat Cushion For Kayak/Canoe/Dinghy Boat 15.3x12.6x0.8inch ,27.80,
"Amal Classic Mirror with Stand, for Vanity and Bathroom Use, Sturdy and Multipurpose Red ",19.00,9
XIMI VOGUE Square Animal Sox Compact Mirror Blue ,10.00,3
XIMI VOGUE Rectangular Leisure Collection Compact Mirror Grey ,10.00,1
BRS Butane Gas Light 12.0 x 6.0 x 5.0centimeter ,115.85,1
Bluefield Waterproof Outdoor Dry Bag 64 x 54centimeter ,109.10,
Pioneer DJ Vinyl Decks PLX500K Black ,1510.00,
,,
,,
"GEEPAS Radio Casset Recorder - Portable Speakers with USB, SD Slots, MP3 & BT | Built-in Microphone with Recording | Auto stop Function | 2 Years Warranty GCR13011 Red/Black ",140.00,11
speedo Pulse Watersports Rashguard Grey S ,185.90,
,,
,,
speedo Pulse Watersports Rashguard Grey S ,185.90,3
,,
Pioneer 2-Channel Performance All In One DJ System XDJ-RX3 Black ,8399.00,2
Generic Pack Of 6 Outdoor Waterproof Bag 33x15x2cm ,54.80,
,,
AQUA LUNG SPORT Aqua Lung Sport Grandprix Plus Snorkeling Fins ,118.10,
,,
"Swift Milk Frother for Coffee, Handheld Battery Operated for Latte, Hot Chocolate, Macha, Portable Mini Drink Mixer Blender with Stainless Steel - Black ",30.00,3
,,
Citrus Magic Citrus Magic Solid Air Freshener Pure Linen White 8ounce ,102.90,
TOOARTS Gas Fuel Tank Cap Covers For Jeep Renegade ,51.10,1
Areon Home Perfume Stick Vanilla 85ml ,30.00,1
Generic 3-Piece Universal Throttle Handbrake Cable Set ,133.00,
